,quote,author,tags
0,"The more that you read, the more things you will know. The more that you learn, the more places you'll go",Dr. Seuss,Tags: learning reading seuss
1,"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real",J.K. Rowling,Tags: dumbledore
2,"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for",Bob Marley,Tags: friendship
3,Not all of us can do great things. But we can do small things with great love,Mother Teresa,Tags: misattributed-to-mother-teresa paraphrased
4,"To the well-organized mind, death is but the next great adventure",J.K. Rowling,Tags: death inspirational
5,All you need is love. But a little chocolate now and then doesn't hurt,Charles M. Schulz,Tags: chocolate food humor
6,We read to know we're not alone,William Nicholson,Tags: misattributed-to-c-s-lewis reading
7,Any fool can know. The point is to understand,Albert Einstein,Tags: knowledge learning understanding wisdom
8,I have always imagined that Paradise will be a kind of library,Jorge Luis Borges,Tags: books library
9,It is never too late to be what you might have been,George Eliot,Tags: inspirational
