,quote,author,tags
0,Anyone who has never made a mistake has never tried anything new,Albert Einstein,Tags: mistakes
1,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment",Jane Austen,Tags: humor love romantic women
2,"Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory",J.K. Rowling,Tags: integrity
3,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library",Jane Austen,Tags: books library reading
4,"There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense",Jane Austen,Tags: elizabeth-bennet jane-austen
5,Some day you will be old enough to start reading fairy tales again,C.S. Lewis,Tags: age fairytales growing-up
6,We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be,C.S. Lewis,Tags: god
7,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time,Mark Twain,Tags: death life
8,A lie can travel half way around the world while the truth is putting on its shoes,Mark Twain,Tags: misattributed-mark-twain truth
9,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else",C.S. Lewis,Tags: christianity faith religion sun
